zpId,Parking,streetAddress,lotAreaUnits,arm5Rate,daysOnZillow,hdpUrl,datePosted,isBankOwned,dateSold,zipcode,lastSoldPrice,livingAreaUnitsShort,livingAreaValue,lotSize,Zestimate Average _2018,description,stories,livingArea,Zestimate Average _2023,latitude,Zestimate Average _2021,isZillowOwned,Price/sqft,wasForeclosed,Year Built,Zestimate Average _2019,taxAssessedValue,city,Zestimate Average _2020,longitude,community,state,county,address,bathrooms,listPrice,thirtyYearFixedRate,zestimate,bedrooms,neighborhood,isListedByOwner,lotAreaValue,fifteenYearFixedRate,taxAssessedYear,Zestimate Average _2022,homeType
19846948.0,1 Attached Garage space,7256 Wild Creek Dr,Square Feet,7.291,0.0,/homedetails/7256-Wild-Creek-Dr-San-Jose-CA-95120/19846948_zpid/,2023-10-25,False,1071532800000.0,95120.0,520000.0,sqft,1470.0,2538.0,1102467.75,"Gorgeous new remodelled Single Family Home with Top Almaden Schools, Graystone/Bret Harte/Leland High. Nestled in the Creekside Neighborhood in Almaden, this 3 beds/2.5 baths home features a separate Living/Family Room with cozy wood-burning fireplace, recessed lights and large windows with abundant natural lights. Alamitos Greek Trail is just within a short distance. Easy commute to Hwy 85/87, will get you quickly to anywhere in Silicon Valley.",2.0,1470.0,1300266.6666666667,37.199318,1197441.5,False,$673,False,1985.0,1016850.5,710605.0,San Jose,982325.5833333334,-121.8291,,CA,Santa Clara County,"7256 Wild Creek Dr, San Jose, CA, 95120",3.0,990000.0,7.641,996400.0,3.0,,False,2538.0,6.936,2023.0,1344466.6666666667,SINGLE_FAMILY
19782851.0,2 Garage spaces,524 Hobie Ln,Square Feet,7.291,0.0,/homedetails/524-Hobie-Ln-San-Jose-CA-95127/19782851_zpid/,2023-10-25,False,1470355200000.0,95127.0,775000.0,sqft,2014.0,8579.0,1005543.5833333334,"A must see beautiful single family home with Studio ADU and big yard nestled in the foothills of Alum Rock. Hardwood floors throughout most of the main home, crown moldings, Granite Counter Tops, central heat/air, attached but separate In-Law unit/Studio. The main house has 3 bedrooms & 2 bath, dual pane windows throughout the home, several skylights in the main house, upgraded bathrooms.",1.0,2014.0,1232962.5,37.369,,False,$492,False,1946.0,881885.4166666666,864243.0,San Jose,982833.6666666666,-121.8119,,CA,Santa Clara County,"524 Hobie Ln, San Jose, CA, 95127",3.0,990000.0,7.641,1006700.0,3.0,,False,8579.0,6.936,2023.0,,SINGLE_FAMILY
19831756.0,1 Carport space,1000 La Terrace Cir,sqft,7.291,0.0,/homedetails/1000-La-Terrace-Cir-San-Jose-CA-95123/19831756_zpid/,2023-10-25,False,1672358400000.0,95123.0,630000.0,sqft,904.0,,624541.0,"WOW VIEWS OF ALMADEN LAKE! This beautiful 2 bed, 1 bath, 904 square foot home located in San Jose is ideal for your growing family. Enjoy the classic look of gleaming hardwood floors throughout this home. Spend a quiet evening at home in front of the beautiful fireplace. Make lasting memories with meals enjoyed in the eat-in kitchen. Indoor laundry simplifies your life and makes it easy to keep up with familys clothes washing needs. The stainless steel appliances in the kitchen provide a refined touch. Beat the heat with the homes included air conditioning. Relax and unwind after a long day in the communitys included hot tub. Spend a relaxing afternoon swimming and lounging at the sparkling pool included with this community.Situated right next to Almaden Lake and off Santa Teresa, close to Parks, Transportation, Shopping, Restaurants, Oakridge Mall, Whole Foods, Costco, Trader Joes, Pizza My Heart and Le Boulanger. Easy access to Highway 85 and 87. A prime San Jose location.",1.0,904.0,649766.6666666666,37.241158,655847.25,False,$752,False,1985.0,581247.0,630000.0,San Jose,612823.1666666666,-121.86853,,CA,Santa Clara County,"1000 La Terrace Cir, San Jose, CA, 95123",1.0,679888.0,7.641,715300.0,2.0,,False,,6.936,2023.0,689241.6666666666,CONDO
124743687.0,1 Attached Garage space,1433 Lee Pl,Square Feet,7.291,0.0,/homedetails/1433-Lee-Pl-San-Jose-CA-95131/124743687_zpid/,2023-10-25,False,,95131.0,,sqft,1371.0,546.0,,"*Exemplifying Style, Serenity & Lifestyle! Welcome to this bright and spacious townhouse style home in the APEX @ Berryessa Crossing community.
*Beyond a functional entryway space the home flows into a luminous, open- concept living, dining, and kitchen area.
*Quiet and energy efficient dual pane windows and recessed lighting throughout.
*Modern kitchen features granite countertop, breakfast bar and stainless steel appliances.
*Comfortable and spacious master suite features a walk in closet and elegant dual sink master bathroom.
*Well maintained attached 2 car side-by-side garage. In house laundry.
*Attending rated 8 Vinci Park Elementary (Great School Rating 8/10.)
*Convenient location within walking distance to Safeway. Near coffee shops, restaurants, and retail stores including Ranch 99, and Costco. Close to SJ Municipal golf course. Easy access to major freeways such as 680, 880, 101 and SJ Int'l Airport. Short distance from BART station and many high tech firms including Google, Amazon, and Apple's N. San Jose
campus.",3.0,1371.0,979244.4444444444,37.37155,944646.25,False,$728,False,2014.0,,672295.0,San Jose,855094.8571428572,-121.88141,,CA,Santa Clara County,"1433 Lee Pl, San Jose, CA, 95131",2.0,998000.0,7.641,,2.0,,False,546.0,6.936,2023.0,983460.0,TOWNHOUSE
19562628.0,2 Attached Garage spaces,1726 Coraltree Pl,Square Feet,7.543,0.0,/homedetails/1726-Coraltree-Pl-San-Jose-CA-95131/19562628_zpid/,2023-10-25,False,,95131.0,,sqft,2870.0,6760.0,1507159.6666666667,"This home has two bedrooms and two full bathrooms downstairs and three bedrooms and two bathrooms upstairs. There is a bedroom with an attached bathroom on each floor making it perfect for multigenerational families. It has a stylish open-concept kitchen, quartz countertops, white cabinets, and top-tier stainless steel appliances. The luxurious vinyl plank floors flow seamlessly into a cozy family room. The property features an inviting living room with a fireplace, spacious bedrooms and updated bathrooms. The outdoors is accentuated by a private backyard with a deck, a play area, and a vegetable garden. The landscaped side yards and a low-maintenance front yard, featuring a Magnolia tree. The house includes a 2-car garage with an automatic opener, laundry facilities, and storage space. The property's prime location offers quick access to schools, parks and shopping centers. Major freeways and BART are also within easy reach, making commuting a breeze.",1.0,2870.0,1719066.6666666667,37.395622,1637770.25,False,$592,False,1974.0,1434546.75,474545.0,San Jose,1525529.5833333333,-121.8797,,CA,Santa Clara County,"1726 Coraltree Pl, San Jose, CA, 95131",4.0,1698000.0,7.676,1707000.0,5.0,,False,6760.0,7.522,2023.0,1773216.6666666667,SINGLE_FAMILY
19756714.0,2 Attached Garage spaces,5639 Le Fevre Dr,Square Feet,7.543,0.0,/homedetails/5639-Le-Fevre-Dr-San-Jose-CA-95118/19756714_zpid/,2023-10-25,False,1113955200000.0,95118.0,780000.0,sqft,1756.0,3658.0,1375025.9166666667,"Open house Sat & Sun 10/28 & 10/29 1-4pm. Welcome to Almaden area. This charming two-story home boasts 3 bedrooms, 2.5 baths, and 1,756 sqft of space with high ceilings. The kitchen features granite countertop, cherry cabinets, stainless steel appliances includes refrigerator microwave, dishwasher, and oven. Hardwood floor throughout and carpet flooring in the bedrooms area. The home is flooded with natural light and features double-sink bathrooms, a 2-car garage, and is ideally located in the desirable Almaden neighborhood near Highway 85 and Almaden Expressway. Conveniently located nearby parks, schools, and shopping plazas.  Don't miss this opportunity to make it yours!",2.0,1756.0,1693266.6666666667,37.238697,1629850.0833333333,False,"$1,024",False,1996.0,1259842.25,1045019.0,San Jose,1342874.0,-121.89455,,CA,Santa Clara County,"5639 Le Fevre Dr, San Jose, CA, 95118",3.0,1799000.0,7.676,1814100.0,3.0,,False,3658.0,7.522,2023.0,1798358.3333333333,SINGLE_FAMILY
19787717.0,2 Attached Garage spaces,3276 Cuesta Dr,Square Feet,7.543,0.0,/homedetails/3276-Cuesta-Dr-San-Jose-CA-95148/19787717_zpid/,2023-10-25,False,1684800000000.0,95148.0,920000.0,sqft,2125.0,6251.0,1019771.5833333334,"What a beauty, like a new house! Your chance to own this desirable Evergreen home which has been just gorgeously updated with all the modern amenities with all high-end at top quality. New roof. New garage door. New kitchen, with new cabinets, quartz countertops. All stainless steel appliances. All 3 New bathrooms. Recessed LED lighting. New flooring. New Double paned windows. Bonus/Game room about 250 sqft not included in the footage. Lots of natural lights. Fresh paints inside and outside. Huge master room with double closets. A MUST SEE!",2.0,2125.0,1057822.2222222222,37.34059,1132894.75,False,$704,False,1965.0,924680.5833333334,1185000.0,San Jose,1001159.9166666666,-121.79665,,CA,Santa Clara County,"3276 Cuesta Dr, San Jose, CA, 95148",3.0,1495000.0,7.676,1522700.0,4.0,,False,6251.0,7.522,2023.0,1286500.0,SINGLE_FAMILY
19769826.0,2 Attached Garage spaces,3052 Melchester Dr,Square Feet,7.543,0.0,/homedetails/3052-Melchester-Dr-San-Jose-CA-95132/19769826_zpid/,2023-10-25,False,1684108800000.0,95132.0,800000.0,sqft,1598.0,6863.0,1254732.8333333333,"Welcome to 3052 Melchester Drive - This stunning home is situated on a large corner lot and located in one of the best neighborhoods in all of San Jose! Top rated schools Sierramont Middle and Piedmont High makes this location unbeatable. The home itself features 4 beds / 2 baths, 1,598 sq.ft of living space and has tastefully updated throughout. The floor plan is truly an entertainers delight. Spacious formal living room with beautiful stylish ceiling beams and family room with gleaming hardwood floors and large windows that allow for ample amounts of light - perfect for entertaining guest. Upgrades include Kitchen with New countertops, New stainless steel appliances, Newer roof, New recessed lighting, Fresh paint and Landscaping throughout (backyard landscaping was done after photos were taken). Large primary suite with walk in closet. Within Close proximity to commute routes, local parks, schools, shopping, and Tech companies. Don't miss this opportunity to make this your home!",1.0,1598.0,1427155.5555555555,37.406635,1309394.6666666667,False,$937,False,1971.0,1148715.25,184048.0,San Jose,1186997.6666666667,-121.86577,,CA,Santa Clara County,"3052 Melchester Dr, San Jose, CA, 95132",2.0,1498000.0,7.676,1508900.0,4.0,,False,6863.0,7.522,2023.0,1479875.0,SINGLE_FAMILY
19779070.0,2 Attached Garage spaces,4110 Golf Dr,Acres,7.291,0.0,/homedetails/4110-Golf-Dr-San-Jose-CA-95127/19779070_zpid/,2023-10-25,False,1428883200000.0,95127.0,738000.0,sqft,1653.0,12284.0,989755.6666666666,"Extensively renovated in 2016, this unique contemporary home offers 2bed + office/den and 1,653 sq.ft. of functional open floor concept, filled with natural light and modern amenities.  Situated on over 12K sq.ft. of lot on the 10th green of the prestigious San Jose Country Club, this is a dream home for golf enthusiasts or someone who appreciates outdoor lifestyle with lush green views and ultimate privacy. Inside & outside, the entire property presents chic designer style, a spacious great room with chef's kitchen, and retractable glass door that lead to the expansive backyard with vast deck, sunken fire pit terrace, 5-hole putting green, enhancing the home's signature of indoor/outdoor living.  Detached studio serves as a versatile remote office, while a separate building designed for golf cart storage provides direct access to the fairway. Conveniently located to 720-acre Alum Rock Park, offering miles of hiking trails.  Easy access to all of Silicon Valley. Welcome home!",1.0,1653.0,1363533.3333333333,37.388157,1115038.5833333333,False,$725,False,1949.0,914330.8333333334,1010583.0,San Jose,887308.0,-121.82495,,CA,Santa Clara County,"4110 Golf Dr, San Jose, CA, 95127",3.0,1198000.0,7.641,1218900.0,2.0,,False,0.2820247933884297,6.936,2023.0,1379158.3333333333,SINGLE_FAMILY
19696788.0,2 Attached Garage spaces,3434 Picadilly Dr,Square Feet,7.543,0.0,/homedetails/3434-Picadilly-Dr-San-Jose-CA-95118/19696788_zpid/,2023-10-25,False,1664236800000.0,95118.0,1500000.0,sqft,1259.0,6347.0,1060721.9166666667,"Welcome Home! This completely remodeled home features high end finishes throughout and is just waiting for you to move in! Formal living room with modern accents and cracked concrete ledge - highlighted by plentiful amounts of natural light flowing through the windows overlooking the backyard area. Updated kitchen with custom cabinetry, Quartz countertops, and stainless-steel appliances. Refinished Hardwood Floors throughout. Recessed Lighting. Double Pane Windows. Formal dining area w/ wood burning fireplace. Spacious Primary Bedroom w/ en-suite bathroom. Two additional bedrooms, one of which could be perfect for a home office. Both bathrooms have been completely remodeled to resemble a spa-like environment. Sliding doors off the dining area flow directly to the covered patio area and large backyard - perfect for entertaining! Situated in a fantastic, well-established neighborhood close to schools, parks, commute routes, and Silicon Valley tech giants! Do not miss this one!",1.0,1259.0,1521833.3333333333,37.271336,1235998.3333333333,False,"$1,230",False,1960.0,1023727.0833333334,1325000.0,San Jose,1130750.9166666667,-121.88281,,CA,Santa Clara County,"3434 Picadilly Dr, San Jose, CA, 95118",2.0,1548000.0,7.676,1580800.0,3.0,,False,6347.0,7.522,2023.0,1452216.6666666667,SINGLE_FAMILY
